Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Copies,List Price_USD,Purchase Price_USD
"Ministry of the Word (Periodical), The, Vol. 14, No. 03, 03/2010",Cat#:  32-324-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.6,,,,,,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 14, No. 04, 04/2010",Cat#:  32-325-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.6,,,,,,,32 - Ministry Magazine,0,,,10,
"Ministry of the Word (Periodical), The, Vol. 14, No. 05, 05/2010",Cat#:  32-326-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.6,,,,,,,32 - Ministry Magazine,0,,,8,
"Ministry of the Word (Periodical), The, Vol. 14, No. 06, 06/2010",Cat#:  32-327-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.6,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 14, No. 07, 07/2010",Cat#:  32-328-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.7,,,,,,,32 - Ministry Magazine,0,,,13.75,
"Ministry of the Word (Periodical), The, Vol. 14, No. 08, 08/2010",Cat#:  32-329-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.7,,,,,,,32 - Ministry Magazine,0,,,8.75,
"Ministry of the Word (Periodical), The, Vol. 14, No. 09, 09/2010",Cat#:  32-330-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.7,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 14, No. 10, 10/2010",Cat#:  32-331-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.7,,,,,,,32 - Ministry Magazine,0,,,10.25,
"Ministry of the Word (Periodical), The, Vol. 14, No. 11, 11/2010",Cat#:  32-332-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.7,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 14, No. 12, 12/2010",Cat#:  32-333-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.8,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 15, No. 01, 01/2011",Cat#:  32-334-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,12.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.8,,,,,,,32 - Ministry Magazine,0,,,12.75,
"Ministry of the Word (Periodical), The, Vol. 15, No. 02, 02/2011",Cat#:  32-335-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.8,,,,,,,32 - Ministry Magazine,0,,,10.25,
"Ministry of the Word (Periodical), The, Vol. 15, No. 03, 03/2011",Cat#:  32-336-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.8,,,,,,,32 - Ministry Magazine,0,,,8.5,
"Ministry of the Word (Periodical), The, Vol. 15, No. 04, 04/2011",Cat#:  32-337-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.8,,,,,,,32 - Ministry Magazine,0,,,9.75,
"Ministry of the Word (Periodical), The, Vol. 15, No. 05, 05/2011",Cat#:  32-338-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.8,,,,,,,32 - Ministry Magazine,0,,,10,
"Ministry of the Word (Periodical), The, Vol. 15, No. 06, 06/2011",Cat#:  32-339-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.9,,,,,Not in stock,,32 - Ministry Magazine,0,,,9.75,
"Ministry of the Word (Periodical), The, Vol. 15, No. 07, 07/2011",Cat#:  32-340-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.9,,,,,,,32 - Ministry Magazine,0,,,13.25,
"Ministry of the Word (Periodical), The, Vol. 15, No. 08, 08/2011",Cat#:  32-341-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.9,,,,,Not in stock,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 15, No. 09, 09/2011",Cat#:  32-342-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.9,,,,,,,32 - Ministry Magazine,0,,,9.75,
"Ministry of the Word (Periodical), The, Vol. 15, No. 10, 10/2011",Cat#:  32-343-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10 $,English,,,,,0,0,,Unread,,,,,,,,,,41:14.9,,,,,,,32 - Ministry Magazine,0,,,10,
"Ministry of the Word (Periodical), The, Vol. 15, No. 11, 11/2011",Cat#:  32-344-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.0,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 15, No. 12, 12/2011",Cat#:  32-345-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.0,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 16, No. 01, 01/2012",Cat#:  32-346-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.0,,,,,,,32 - Ministry Magazine,0,,,13,
"Ministry of the Word (Periodical), The, Vol. 16, No. 02, 02/2012",Cat#:  32-347-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.2,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 16, No. 03, 03/2012",Cat#:  32-348-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.4,,,,,,,32 - Ministry Magazine,0,,,9,
"Ministry of the Word (Periodical), The, Vol. 16, No. 04, 04/2012",Cat#:  32-349-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,,,32 - Ministry Magazine,0,,,9,
"Ministry of the Word (Periodical), The, Vol. 16, No. 05, 05/2012",Cat#:  32-350-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.7,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 16, No. 06, 06/2012",Cat#:  32-351-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.9,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 16, No. 07, 07/2012",Cat#:  32-352-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.1,,,,,,,32 - Ministry Magazine,0,,,13,
"Ministry of the Word (Periodical), The, Vol. 16, No. 08, 08/2012",Cat#:  32-353-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.1,,,,,,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 16, No. 09, 09/2012",Cat#:  32-354-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.1,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 16, No. 10, 10/2012",Cat#:  32-355-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.2,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 16, No. 11, 11/2012",Cat#:  32-356-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.2,,,,,,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 16, No. 12, 12/2012",Cat#:  32-357-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.2,,,,,,,32 - Ministry Magazine,0,,,9,
"Ministry of the Word (Periodical), The, Vol. 17, No. 01, 01/2013",Cat#:  32-358-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,14.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.2,,,,,,,32 - Ministry Magazine,0,,,14.75,
"Ministry of the Word (Periodical), The, Vol. 17, No. 02, 02/2013",Cat#:  32-359-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.2,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 17, No. 03, 03/2013",Cat#:  32-360-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.3,,,,,,,32 - Ministry Magazine,0,,,9,
"Ministry of the Word (Periodical), The, Vol. 17, No. 04, 04/2013",Cat#:  32-361-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.3,,,,,,,32 - Ministry Magazine,0,,,9,
"Ministry of the Word (Periodical), The, Vol. 17, No. 05, 05/2013",Cat#:  32-362-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.3,,,,,,,32 - Ministry Magazine,0,,,8.75,
"Ministry of the Word (Periodical), The, Vol. 17, No. 06, 06/2013",Cat#:  32-363-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.3,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 17, No. 07, 07/2013",Cat#:  32-364-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.3,,,,,,,32 - Ministry Magazine,0,,,13.25,
"Ministry of the Word (Periodical), The, Vol. 17, No. 08, 08/2013",Cat#:  32-365-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.4,,,,,,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 17, No. 09, 09/2013",Cat#:  32-366-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.4,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 17, No. 10, 10-11/2013",Cat#:  32-367-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.4,,,,,,,32 - Ministry Magazine,0,,,10.75,
"Ministry of the Word (Periodical), The, Vol. 17, No. 11, 12/2013",Cat#:  32-368-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.4,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 18, No. 01, 01/2014",Cat#:  32-369-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.4,,,,,,,32 - Ministry Magazine,0,,,13,
"Ministry of the Word (Periodical), The, Vol. 18, No. 02, 02/2014",Cat#:  32-370-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,,,32 - Ministry Magazine,0,,,8.5,
"Ministry of the Word (Periodical), The, Vol. 18, No. 03, 03/2014",Cat#:  32-371-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,,,32 - Ministry Magazine,0,,,10.25,
"Ministry of the Word (Periodical), The, Vol. 18, No. 04, 04-05/2014",Cat#:  32-372-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,,,32 - Ministry Magazine,0,,,9.75,
"Ministry of the Word (Periodical), The, Vol. 18, No. 05, 06/2014",Cat#:  32-373-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,Not in stock,,32 - Ministry Magazine,0,,,10.25,
"Ministry of the Word (Periodical), The, Vol. 18, No. 06, 07/2014",Cat#:  32-374-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,12.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,,,32 - Ministry Magazine,0,,,12.75,
"Ministry of the Word (Periodical), The, Vol. 18, No. 07, 08/2014",Cat#:  32-375-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.5,,,,,Not in Stock,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 18, No. 08, 09/2014",Cat#:  32-376-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.6,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 18, No. 09, 10/2014",Cat#:  32-377-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.6,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 18, No. 10, 11/2014",Cat#:  32-378-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.6,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 18, No. 11, 12/2014",Cat#:  32-379-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.6,,,,,,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 19, No. 01, 01/2015",Cat#:  32-380-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.6,,,,,,,32 - Ministry Magazine,0,,,13.5,
"Ministry of the Word (Periodical), The, Vol. 19, No. 02, 02/2015",Cat#:  32-381-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.7,,,,,,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 19, No. 03, 03/2015",Cat#:  32-382-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.7,,,,,New,,32 - Ministry Magazine,0,,,8.25,
"Ministry of the Word (Periodical), The, Vol. 19, No. 04, 04/2015",Cat#:  32-383-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.7,,,,,New,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 19, No. 05, 05/2015",Cat#:  32-384-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.7,,,,,New,,32 - Ministry Magazine,0,,,9.75,
"Ministry of the Word (Periodical), The, Vol. 19, No. 06, 06/2015",Cat#:  32-385-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.7,,,,,New,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 19, No. 07, 07/2015",Cat#:  32-386-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.8,,,,,New,,32 - Ministry Magazine,0,,,13,
"Ministry of the Word (Periodical), The, Vol. 19, No. 08, 08/2015",Cat#:  32-387-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.8,,,,,New,,32 - Ministry Magazine,0,,,8.5,
"Ministry of the Word (Periodical), The, Vol. 19, No. 09, 09/2015",Cat#:  32-388-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.25 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.8,,,,,New,,32 - Ministry Magazine,0,,,9.25,
"Ministry of the Word (Periodical), The, Vol. 19, No. 10, 10/2015",Cat#:  32-389-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,10.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.8,,,,,New,,32 - Ministry Magazine,0,,,10.5,
"Ministry of the Word (Periodical), The, Vol. 19, No. 11, 11/2015",Cat#:  32-390-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.8,,,,,New,,32 - Ministry Magazine,0,,,8.5,
"Ministry of the Word (Periodical), The, Vol. 19, No. 12, 12/2015",Cat#:  32-391-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,9.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.9,,,,,New,,32 - Ministry Magazine,0,,,9.75,
"Ministry of the Word (Periodical), The, Vol. 20, No. 01, 01/2016",Cat#:  32-392-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,13 $,English,,,,,0,0,,Unread,,,,,,,,,,41:15.9,,,,,New,,32 - Ministry Magazine,0,,,13,
"Move of God in Man, The",Cat#:  04-020-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.7,,,,,,,04 - Concerning God's Economy,0,,,8,
"Mysteries in God's New Testament Economy, The",Cat#:  04-011-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,5 $,English,,,,,0,0,,Unread,,,,,,,,,,40:57.7,,,,,,,04 - Concerning God's Economy,0,,,5,
"Mystery of Christ, The",Cat#:  08-045-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,8 $,English,,,,,0,0,,Unread,,,,,,,,,,40:59.5,,,,,,,08 - Concerning the Church,0,,,8,
"Mystery of God and the Mystery of Christ, The",Cat#:  06-024-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,7.25 $,English,,,,,0,0,,Unread,,,,,,,,,,40:58.1,,,,,,,06 - Concerning Christ,0,,,7.25,
"Mystery of Human Life, The",Cat#:  18-010-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,0.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:09.8,,,,,,,18 - Booklets,0,,,0.5,
"Mystery of Human Life, The (also available online at: www.lsm.org)",Cat#:  18-010-701,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,,English,,,,,0,0,,Unread,,,,,,,,,,41:09.8,,,,,,,18 - Booklets,0,,,,
"Mystery of Human Life, The (English/Spanish)",Cat#:  21-010-002,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,1.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:11.3,,,,,,,21 - Booklets in English and Spanish,0,,,1.5,
"Mystery of the Universe and the Meaning of Human Life, The",Cat#:  11-927-001,,,W. Lee,"Lee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,7.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:02.8,,,,,,,11 - Concerning the Gospel,0,,,7.5,
"Name of Jesus Is Our Stand, The (Music Cassette)",Cat#:  99-991-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,3 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.3,,,,,,,99 - Music - Singing,0,,,3,
"Name of Jesus Is Our Stand, The (Music CD)",Cat#:  99-990-001,,,Unknown Author,Unknown Author,,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,15 $,English,,,,,0,0,,Unread,,,,,,,,,,41:17.3,,,,,,,99 - Music - Singing,0,,,15,
New Believers Series - Boxed Set (Vol. 1-24),Cat#:  13-125-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,43.5 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.7,,,,,,,13 - Concerning Christian Practice,0,,,43.5,
New Believers Series: #01 Baptism,Cat#:  13-101-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.7,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #02 Terminating the Past,Cat#:  13-102-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.7,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #03 Separation from the World,Cat#:  13-103-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.7,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #04 Witnessing,Cat#:  13-104-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.8,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #05 Leading Men to Christ,Cat#:  13-105-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.8,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #06 If Anyone Sins,Cat#:  13-106-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.8,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #07 Consecration,Cat#:  13-107-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.8,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #08 Confession with the Mouth,Cat#:  13-108-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.8,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
New Believers Series: #09 Reading the Bible,Cat#:  13-109-001,,,W. Nee,"Nee, W.",,,,https://www.livingstream.com,,,,,,,,,,,,,,,,,,2.75 $,English,,,,,0,0,,Unread,,,,,,,,,,41:06.8,,,,,,,13 - Concerning Christian Practice,0,,,2.75,
